mean_degree,time_btw_drinks
1.0,1278.0
1.0,2103.0
1.0,307.0
1.0,5851.0
1.0,1900.0
1.0,2693.0
1.0,2971.0
1.0,3291.0
1.0,3368.0
1.0,3466.0
1.0,463.0
1.0,2511.0
1.0,11140.0
1.0,875.0
1.0,3196.0
1.0,1114.0
1.0,594.0
1.0,2963.0
1.0,153.0
1.0,3182.0
1.0,5911.0
1.0,1166.0
1.0,3066.0
1.0,580.0
1.0,3202.0
1.0,266.0
1.0,1889.0
1.0,155.0
1.0,1781.0
1.0,2427.0
1.0,835.0
1.0,711.0
1.0,3142.0
1.0,2426.0
1.0,4500.0
1.0,138.0
1.0,2927.0
1.0,2758.0
1.0,2210.0
1.0,574.0
1.0,2085.0
1.0,3293.0
1.0,3716.0
1.0,763.0
1.0,3320.0
1.0,1056.0
1.0,2329.0
1.0,2837.0
1.0,76.0
1.0,2769.0
1.0,2338.0
1.0,3.0
1.0,3348.0
1.0,4959.0
1.0,2784.0
1.0,158.0
1.0,4047.0
1.0,6083.0
1.0,2936.0
1.0,43.0
1.0,2931.0
1.0,1396.0
1.0,4763.0
1.0,2821.0
1.0,2639.0
1.0,1487.0
1.0,134.0
1.0,4712.0
1.0,2708.0
1.0,32.0
1.0,6506.0
1.0,68.0
1.0,2488.0
1.0,1301.0
1.0,931.0
1.0,349.0
1.0,2618.0
1.0,4174.0
1.0,3312.0
1.0,1807.0
1.0,6037.0
1.0,982.0
1.0,3095.0
1.0,3580.0
1.0,2262.0
1.0,3352.0
1.0,154.0
1.0,4577.0
1.0,1791.0
1.0,3474.0
1.0,729.0
1.0,1805.0
1.0,10718.0
1.0,580.0
1.0,301.0
1.0,2666.0
1.0,1945.0
1.0,1435.0
1.0,1884.0
1.0,1904.0
1.0,2446.0
1.0,3523.0
1.0,5091.0
1.0,399.0
1.0,6622.0
1.0,10460.0
1.0,2888.0
1.0,2534.0
1.0,3566.0
1.0,5585.0
1.0,1567.0
1.0,5951.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,3658.0
1.0,4990.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,6271.0
1.0,1.0
1.0,216.0
1.0,101.0
1.0,2295.0
1.0,1466.0
1.0,287.0
1.0,2756.0
1.0,1.0
1.0,1696.0
1.0,1.0
1.0,4830.0
1.0,1.0
1.0,262.0
1.0,1.0
1.0,3725.0
1.0,160.0
1.0,2144.0
1.0,417.0
1.0,2139.0
1.0,5973.0
1.0,3074.0
1.0,1243.0
1.0,140.0
1.0,4800.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1059.0
1.0,3364.0
1.0,3914.0
1.0,4109.0
1.0,760.0
1.0,3890.0
1.0,2267.0
1.0,1529.0
1.0,2480.0
1.0,3449.0
1.0,2674.0
1.0,1797.0
1.0,1790.0
1.0,2655.0
1.0,776.0
1.0,1451.0
1.0,2316.0
1.0,3770.0
1.0,922.0
1.0,2982.0
1.0,4233.0
1.0,71.0
1.0,3287.0
1.0,2859.0
1.0,766.0
1.0,1308.0
1.0,1224.0
1.0,1753.0
1.0,3935.0
1.0,2969.0
1.0,2177.0
1.0,1582.0
1.0,2690.0
1.0,3033.0
1.0,1773.0
1.0,3393.0
1.0,522.0
1.0,1577.0
1.0,1433.0
1.0,2049.0
1.0,3648.0
1.0,2811.0
1.0,1748.0
1.0,1467.0
1.0,1589.0
1.0,2170.0
1.0,1110.0
1.0,3375.0
1.0,1910.0
1.0,732.0
1.0,1008.0
1.0,3205.0
1.0,2102.0
1.0,2510.0
1.0,2178.0
1.0,3364.0
1.0,53.0
1.0,5770.0
1.0,10591.0
1.0,4369.0
1.0,2276.0
1.0,3162.0
1.0,3360.0
1.0,1897.0
1.0,4111.0
1.0,1408.0
1.0,4763.0
1.0,9096.0
1.0,2510.0
1.0,884.0
1.0,1294.0
1.0,3417.0
1.0,2421.0
1.0,3019.0
1.0,3852.0
1.0,14172.0
1.0,2704.0
1.0,1459.0
1.0,1768.0
1.0,133.0
1.0,6008.0
1.0,1432.0
1.0,3173.0
1.0,8630.0
1.0,5428.0
1.0,5097.0
1.0,1740.0
1.0,2050.0
1.0,889.0
1.0,5066.0
1.0,6176.0
1.0,4640.0
1.0,2520.0
1.0,2299.0
1.0,3303.0
1.0,4762.0
1.0,986.0
1.0,3207.0
1.0,237.0
1.0,489.0
1.0,2977.0
1.0,2931.0
1.0,4372.0
1.0,6245.0
1.0,3420.0
1.0,1623.0
1.0,2473.0
1.0,5955.0
1.0,767.0
1.0,2122.0
1.0,3955.0
1.0,5719.0
1.0,4777.0
1.0,2545.0
1.0,5079.0
1.0,3377.0
1.0,104.0
1.0,75.0
1.0,1.0
1.0,5042.0
1.0,2386.0
1.0,1.0
1.0,6247.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,4515.0
1.0,1716.0
1.0,3234.0
1.0,3650.0
1.0,877.0
1.0,3183.0
1.0,1566.0
1.0,7629.0
1.0,3085.0
1.0,3228.0
1.0,1.0
1.0,233.0
1.0,7519.0
1.0,1208.0
1.0,454.0
1.0,153.0
1.0,4549.0
1.0,847.0
1.0,382.0
1.0,6703.0
1.0,1988.0
1.0,741.0
1.0,1981.0
1.0,3744.0
1.0,2271.0
1.0,3367.0
1.0,2563.0
1.0,3248.0
1.0,942.0
1.0,4206.0
1.0,8899.0
1.0,3986.0
1.0,2370.0
1.0,1425.0
1.0,2943.0
1.0,81.0
1.0,3508.0
1.0,932.0
1.0,3745.0
1.0,1328.0
1.0,2691.0
1.0,1856.0
1.0,257.0
1.0,1415.0
1.0,2541.0
1.0,637.0
1.0,3503.0
1.0,2.0
1.0,2425.0
1.0,4190.0
1.0,2.0
1.0,2962.0
1.0,54.0
1.0,2536.0
